Period,Minutes Remaining,Seconds Remaining,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Action Type_Frequency,Team Name_Frequency,Home Team_Frequency,Away Team_Frequency,ShotType_2PT Field Goal,ShotType_3PT Field Goal,ShotZoneBasic_Above the Break 3,ShotZoneBasic_Backcourt,ShotZoneBasic_In The Paint (Non-RA),ShotZoneBasic_Left Corner 3,ShotZoneBasic_Mid-Range,ShotZoneBasic_Restricted Area,ShotZoneBasic_Right Corner 3,ShotZoneArea_Back Court(BC),ShotZoneArea_Center(C),ShotZoneArea_Left Side Center(LC),ShotZoneArea_Left Side(L),ShotZoneArea_Right Side Center(RC),ShotZoneArea_Right Side(R),ShotZoneRange_16-24 ft.,ShotZoneRange_24+ ft.,ShotZoneRange_8-16 ft.,ShotZoneRange_Back Court Shot,ShotZoneRange_Less Than 8 ft.,SeasonType_Playoffs,SeasonType_Regular Season,Game ID_Frequency,Game Event ID_Frequency,Player ID_Frequency
3,7,25,0,0,0,0,20080315,0.05631067961165048,0.031067961165048542,0.03495145631067961,0.02912621359223301,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.005825242718446602
3,4,16,26,60,260,1,20191028,0.5786407766990291,0.04660194174757282,0.03300970873786408,0.04660194174757282,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
1,9,56,0,0,0,1,20091118,0.12427184466019417,0.017475728155339806,0.04271844660194175,0.02912621359223301,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.009708737864077669
1,7,19,4,-8,49,0,20010218,0.015533980582524271,0.021359223300970873,0.04271844660194175,0.02524271844660194,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.005825242718446602
4,4,9,23,236,3,1,20110212,0.5786407766990291,0.021359223300970873,0.03495145631067961,0.02524271844660194,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
1,6,33,20,-97,178,0,20091102,0.5786407766990291,0.02912621359223301,0.021359223300970873,0.017475728155339806,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
2,1,57,23,233,41,0,20101208,0.5786407766990291,0.05048543689320388,0.04660194174757282,0.019417475728155338,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.001941747572815534,0.007766990291262136,0.003883495145631068
2,5,21,23,236,0,0,20061214,0.5786407766990291,0.019417475728155338,0.02524271844660194,0.021359223300970873,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
3,1,11,14,-141,-5,0,20100329,0.5786407766990291,0.031067961165048542,0.03495145631067961,0.036893203883495145,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
1,10,37,19,-10,198,0,20131111,0.5786407766990291,0.04660194174757282,0.03495145631067961,0.04660194174757282,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
2,6,16,2,25,-6,0,20161205,0.12427184466019417,0.040776699029126215,0.04271844660194175,0.031067961165048542,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.007766990291262136,0.003883495145631068
2,11,33,19,79,179,0,20051112,0.5786407766990291,0.021359223300970873,0.001941747572815534,0.036893203883495145,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
2,1,7,12,52,117,1,20050408,0.015533980582524271,0.03495145631067961,0.02912621359223301,0.04854368932038835,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
1,4,1,25,-188,170,0,20130109,0.5786407766990291,0.031067961165048542,0.027184466019417475,0.04271844660194175,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.009708737864077669
2,6,45,8,84,7,0,20030125,0.5786407766990291,0.038834951456310676,0.02524271844660194,0.04466019417475728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001941747572815534,0.001941747572815534,0.007766990291262136
2,9,23,3,-16,28,0,20110130,0.5786407766990291,0.03495145631067961,0.04271844660194175,0.031067961165048542,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
1,3,23,0,0,0,1,20021101,0.12427184466019417,0.02912621359223301,0.03495145631067961,0.027184466019417475,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
4,11,14,17,82,151,1,20030524,0.5786407766990291,0.02912621359223301,0.03495145631067961,0.04271844660194175,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.001941747572815534,0.003883495145631068,0.007766990291262136
2,0,53,24,199,141,0,19971210,0.5786407766990291,0.038834951456310676,0.04660194174757282,0.027184466019417475,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
2,8,0,14,-146,11,0,20081126,0.5786407766990291,0.040776699029126215,0.04660194174757282,0.038834951456310676,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.001941747572815534,0.005825242718446602,0.011650485436893204
1,8,54,4,-30,36,0,20101214,0.02912621359223301,0.019417475728155338,0.031067961165048542,0.040776699029126215,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
3,8,41,24,5,247,1,20190224,0.5786407766990291,0.02330097087378641,0.03495145631067961,0.04271844660194175,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
3,11,10,12,98,72,0,20020124,0.015533980582524271,0.03495145631067961,0.03495145631067961,0.036893203883495145,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.001941747572815534,0.007766990291262136,0.003883495145631068
2,4,49,3,-34,21,1,20161111,0.003883495145631068,0.003883495145631068,0.015533980582524271,0.040776699029126215,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
